"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Jan., 2018"	"2018/01"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Feb., 2018"	"2018/02"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Mar., 2018"	"2018/03"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Apr., 2018"	"2018/04"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"May, 2018"	"2018/05"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Jul., 2018"	"2018/07"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Aug., 2018"	"2018/08"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Sep., 2018"	"2018/09"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Oct., 2018"	"2018/10"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Nov., 2018"	"2018/11"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	"Dec., 2018"	"2018/12"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Jan., 2018"	"2018/01"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Feb., 2018"	"2018/02"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Mar., 2018"	"2018/03"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Apr., 2018"	"2018/04"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"May, 2018"	"2018/05"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Jun., 2018"	"2018/06"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Jul., 2018"	"2018/07"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Aug., 2018"	"2018/08"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Sep., 2018"	"2018/09"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Oct., 2018"	"2018/10"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Nov., 2018"	"2018/11"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"15-24 years"	"15-24"	"Dec., 2018"	"2018/12"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Jan., 2018"	"2018/01"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Feb., 2018"	"2018/02"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Mar., 2018"	"2018/03"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Apr., 2018"	"2018/04"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"May, 2018"	"2018/05"	36	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Jun., 2018"	"2018/06"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Jul., 2018"	"2018/07"	34	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Aug., 2018"	"2018/08"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Sep., 2018"	"2018/09"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Oct., 2018"	"2018/10"	32	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Nov., 2018"	"2018/11"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"25-34 years"	"25-34"	"Dec., 2018"	"2018/12"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Jan., 2018"	"2018/01"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Feb., 2018"	"2018/02"	56	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Mar., 2018"	"2018/03"	52	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Apr., 2018"	"2018/04"	58	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"May, 2018"	"2018/05"	70	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Jun., 2018"	"2018/06"	59	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Jul., 2018"	"2018/07"	54	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Aug., 2018"	"2018/08"	51	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Sep., 2018"	"2018/09"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Oct., 2018"	"2018/10"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Nov., 2018"	"2018/11"	63	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"35-44 years"	"35-44"	"Dec., 2018"	"2018/12"	68	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Jan., 2018"	"2018/01"	150	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Feb., 2018"	"2018/02"	107	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Mar., 2018"	"2018/03"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Apr., 2018"	"2018/04"	111	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"May, 2018"	"2018/05"	137	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Jun., 2018"	"2018/06"	115	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Jul., 2018"	"2018/07"	135	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Aug., 2018"	"2018/08"	120	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Sep., 2018"	"2018/09"	125	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Oct., 2018"	"2018/10"	110	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Nov., 2018"	"2018/11"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"45-54 years"	"45-54"	"Dec., 2018"	"2018/12"	129	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Jan., 2018"	"2018/01"	356	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Feb., 2018"	"2018/02"	261	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Mar., 2018"	"2018/03"	276	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Apr., 2018"	"2018/04"	265	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"May, 2018"	"2018/05"	222	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Jun., 2018"	"2018/06"	258	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Jul., 2018"	"2018/07"	262	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Aug., 2018"	"2018/08"	236	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Sep., 2018"	"2018/09"	256	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Oct., 2018"	"2018/10"	282	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Nov., 2018"	"2018/11"	297	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"55-64 years"	"55-64"	"Dec., 2018"	"2018/12"	278	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Jan., 2018"	"2018/01"	514	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Feb., 2018"	"2018/02"	437	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Mar., 2018"	"2018/03"	435	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Apr., 2018"	"2018/04"	388	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"May, 2018"	"2018/05"	436	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Jun., 2018"	"2018/06"	402	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Jul., 2018"	"2018/07"	387	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Aug., 2018"	"2018/08"	370	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Sep., 2018"	"2018/09"	374	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Oct., 2018"	"2018/10"	389	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Nov., 2018"	"2018/11"	388	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"65-74 years"	"65-74"	"Dec., 2018"	"2018/12"	450	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Jan., 2018"	"2018/01"	743	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Feb., 2018"	"2018/02"	560	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Mar., 2018"	"2018/03"	590	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Apr., 2018"	"2018/04"	564	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"May, 2018"	"2018/05"	544	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Jun., 2018"	"2018/06"	484	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Jul., 2018"	"2018/07"	513	Not Applicable	Not Applicable
	"Alabama"	"01"	"Female"	"F"	"75-84 years"	"75-84"	"Aug., 2018"	"2018/08"	531	Not Applicable	Not Applicable
