"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Jan., 2015"	"2015/01"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Feb., 2015"	"2015/02"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Mar., 2015"	"2015/03"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Apr., 2015"	"2015/04"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"May, 2015"	"2015/05"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Jun., 2015"	"2015/06"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Jul., 2015"	"2015/07"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Aug., 2015"	"2015/08"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Sep., 2015"	"2015/09"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Oct., 2015"	"2015/10"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Nov., 2015"	"2015/11"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	"Dec., 2015"	"2015/12"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	"Jan., 2015"	"2015/01"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	"Feb., 2015"	"2015/02"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	"Mar., 2015"	"2015/03"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	"Apr., 2015"	"2015/04"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	"May, 2015"	"2015/05"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	"Jun., 2015"	"2015/06"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	"Jul., 2015"	"2015/07"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	"Aug., 2015"	"2015/08"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	"Sep., 2015"	"2015/09"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	"Oct., 2015"	"2015/10"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	"Nov., 2015"	"2015/11"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	"Dec., 2015"	"2015/12"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2015"	"2015"	"Apr., 2015"	"2015/04"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2015"	"2015"	"Jul., 2015"	"2015/07"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2015"	"2015"	"Feb., 2015"	"2015/02"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2015"	"2015"	"Mar., 2015"	"2015/03"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2015"	"2015"	"Apr., 2015"	"2015/04"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2015"	"2015"	"May, 2015"	"2015/05"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2015"	"2015"	"Jun., 2015"	"2015/06"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2015"	"2015"	"Jul., 2015"	"2015/07"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2015"	"2015"	"Aug., 2015"	"2015/08"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2015"	"2015"	"Sep., 2015"	"2015/09"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2015"	"2015"	"Oct., 2015"	"2015/10"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2015"	"2015"	"Dec., 2015"	"2015/12"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2015"	"2015"	"Jan., 2015"	"2015/01"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2015"	"2015"	"Apr., 2015"	"2015/04"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2015"	"2015"	"May, 2015"	"2015/05"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2015"	"2015"	"Jul., 2015"	"2015/07"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2015"	"2015"	"Sep., 2015"	"2015/09"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2015"	"2015"	"Nov., 2015"	"2015/11"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2015"	"2015"	"Jan., 2015"	"2015/01"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2015"	"2015"	"Feb., 2015"	"2015/02"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2015"	"2015"	"Mar., 2015"	"2015/03"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2015"	"2015"	"Apr., 2015"	"2015/04"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2015"	"2015"	"May, 2015"	"2015/05"	32	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2015"	"2015"	"Jun., 2015"	"2015/06"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2015"	"2015"	"Jul., 2015"	"2015/07"	29	Not Applicable	Not Applicable
